threshold,precision,recall,f1
0.0,0.13406317300789664,1.0,0.2364298148441209
0.01,0.13466738777717685,1.0,0.23736892278360344
0.02,0.13696369636963696,1.0,0.2409288824383164
0.03,0.14550058433969615,1.0,0.25403842883863287
0.04,0.15964949775593076,1.0,0.27534095097677846
0.05,0.17638724911452183,1.0,0.29987956643918107
0.06,0.19893475366178429,1.0,0.33185250999555754
0.07,0.2239208633093525,1.0,0.36590742101396034
0.08,0.2535641547861507,1.0,0.40454914703493094
0.09,0.28598848368522073,0.9973226238286479,0.4445107398568019
0.1,0.32265049805110435,0.9973226238286479,0.487565445026178
0.11,0.36129970902036856,0.9973226238286479,0.530437878248487
0.12,0.39946380697050937,0.9973226238286479,0.5704441041347627
0.13,0.4439809296781883,0.9973226238286479,0.6144329896907217
0.14,0.47361729179911,0.9973226238286479,0.6422413793103449
0.15,0.5202797202797202,0.9959839357429718,0.6835094166283877
0.16,0.5581395348837209,0.9959839357429718,0.7153846153846154
0.17,0.5956765412329864,0.9959839357429718,0.7454909819639278
0.18,0.6291278577476714,0.9946452476572959,0.770746887966805
0.19,0.6601423487544484,0.9933065595716198,0.7931587386424372
0.2,0.6807339449541284,0.9933065595716198,0.8078388677191073
0.21,0.7053231939163498,0.9933065595716198,0.8249027237354085
0.22,0.7346534653465346,0.9933065595716198,0.8446215139442231
0.23,0.75177304964539,0.9933065595716198,0.8558246828143022
0.24,0.7721123829344433,0.9933065595716198,0.8688524590163934
0.25,0.7927350427350427,0.9933065595716198,0.8817587641117053
0.26,0.8100436681222707,0.9933065595716198,0.8923631990378833
0.27,0.8262806236080178,0.9933065595716198,0.902127659574468
0.28,0.8344594594594594,0.9919678714859438,0.9064220183486239
0.29,0.8428246013667426,0.9906291834002677,0.9107692307692308
0.3,0.8515535097813579,0.9906291834002677,0.9158415841584159
0.31,0.8705882352941177,0.9906291834002677,0.9267376330619912
0.32,0.8862275449101796,0.9906291834002677,0.9355246523388117
0.33,0.896969696969697,0.9906291834002677,0.9414758269720102
0.34,0.9057527539779682,0.9906291834002677,0.9462915601023018
0.35000000000000003,0.9158415841584159,0.9906291834002677,0.9517684887459807
0.36,0.9261576971214017,0.9906291834002677,0.9573091849935317
0.37,0.9308176100628931,0.9906291834002677,0.959792477302205
0.38,0.9307304785894207,0.9892904953145917,0.9591174561972745
0.39,0.9366286438529785,0.9892904953145917,0.9622395833333334
0.4,0.9414012738853503,0.9892904953145917,0.9647519582245431
0.41000000000000003,0.9449423815620999,0.9879518072289156,0.9659685863874345
0.42,0.9485861182519281,0.9879518072289156,0.9678688524590164
0.43,0.952258064516129,0.9879518072289156,0.9697766097240473
0.44,0.9559585492227979,0.9879518072289156,0.9716919025674786
0.45,0.9608865710560626,0.9866131191432396,0.9735799207397622
0.46,0.9633986928104575,0.9866131191432396,0.9748677248677249
0.47000000000000003,0.9646596858638743,0.9866131191432396,0.9755129053606882
0.48,0.9646596858638743,0.9866131191432396,0.9755129053606882
0.49,0.9658344283837057,0.9839357429718876,0.9748010610079576
0.5,0.9657894736842105,0.9825970548862115,0.9741207697412076
0.51,0.9657894736842105,0.9825970548862115,0.9741207697412076
0.52,0.9657444005270093,0.9812583668005355,0.9734395750332006
0.53,0.9695767195767195,0.9812583668005355,0.9753825681969395
0.54,0.9721485411140584,0.9812583668005355,0.9766822118587608
0.55,0.9747340425531915,0.9812583668005355,0.9779853235490327
0.56,0.9773030707610146,0.9799196787148594,0.9786096256684492
0.5700000000000001,0.9773030707610146,0.9799196787148594,0.9786096256684492
0.58,0.9785809906291834,0.9785809906291834,0.9785809906291834
0.59,0.9785522788203753,0.9772423025435074,0.9778968519758875
0.6,0.9798657718120806,0.9772423025435074,0.9785522788203753
0.61,0.9797297297297297,0.9705488621151271,0.9751176866173503
0.62,0.981029810298103,0.9692101740294511,0.9750841750841751
0.63,0.9836734693877551,0.9678714859437751,0.9757085020242915
0.64,0.9876712328767123,0.965194109772423,0.976303317535545
0.65,0.9890260631001372,0.965194109772423,0.9769647696476965
0.66,0.9903181189488244,0.9585006693440429,0.9741496598639455
0.67,0.9903047091412742,0.9571619812583668,0.9734513274336283
0.68,0.9916550764951322,0.9544846050870147,0.9727148703956344
0.6900000000000001,0.9929971988795518,0.9491298527443106,0.9705681040383299
0.7000000000000001,0.9929775280898876,0.9464524765729585,0.9691569568197396
0.71,0.9929577464788732,0.9437751004016064,0.967741935483871
0.72,0.9943502824858758,0.9424364123159303,0.9676975945017182
0.73,0.9971509971509972,0.9370816599732262,0.966183574879227
0.74,0.9971264367816092,0.92904953145917,0.9618849618849619
0.75,0.9971056439942113,0.9223560910307899,0.9582753824756607
0.76,0.997093023255814,0.9183400267737617,0.9560975609756097
0.77,0.997080291970803,0.9143239625167336,0.9539106145251397
0.78,0.9970457902511078,0.9036144578313253,0.9480337078651685
0.79,0.9970059880239521,0.891566265060241,0.9413427561837456
0.8,0.9969512195121951,0.8755020080321285,0.932287954383464
0.81,0.9984447900466563,0.8594377510040161,0.9237410071942446
0.8200000000000001,0.9984350547730829,0.8540829986613119,0.9206349206349206
0.8300000000000001,0.9984076433121019,0.8393574297188755,0.912
0.84,1.0,0.8313253012048193,0.9078947368421053
0.85,1.0,0.8165997322623829,0.899042004421518
0.86,1.0,0.7911646586345381,0.8834080717488789
0.87,1.0,0.7576974564926372,0.8621477532368621
0.88,1.0,0.7322623828647925,0.8454404945904173
0.89,1.0,0.6934404283801874,0.8189723320158103
0.9,1.0,0.6479250334672021,0.7863525588952072
0.91,1.0,0.6010709504685409,0.7508361204013378
0.92,1.0,0.535475234270415,0.6974716652136007
0.93,1.0,0.4564926372155288,0.6268382352941176
0.9400000000000001,1.0,0.3962516733601071,0.5675934803451582
0.9500000000000001,1.0,0.3038821954484605,0.46611909650924027
0.96,1.0,0.23694779116465864,0.38311688311688313
0.97,1.0,0.15930388219544847,0.2748267898383372
0.98,1.0,0.08032128514056225,0.14869888475836432
0.99,1.0,0.029451137884872823,0.05721716514954486
1.0,0.0,0.0,0.0
